pathophysiologic finding,RID4736.Observation
cryoprobe applicator,RID12976.Observation
fiber applicator,RID12975.Observation
straight single applicator,RID12978.Observation
Nanoknife,RID35776.Observation
body filter,RID12334.Observation
head filter,RID12333.Observation
pediatric filter,RID12336.Observation
cardiac filter,RID12335.Observation
k-space filter,RID10785.Observation
separable filter,RID10790.Observation
radial filter,RID10786.Observation
anti-ringing filter,RID10787.Observation
elliptical filter,RID10788.Observation
Fermi filter,RID10789.Observation
cryoplasty balloon,RID11042.Observation
high-pressure balloon,RID11050.Observation
detachable balloon,RID5452.Observation
noncompliant balloon,RID11040.Observation
low-pressure balloon,RID11051.Observation
cutting balloon,RID11041.Observation
compliant balloon,RID11039.Observation
ultrasound transducer,RID10867.Observation
endocavitary transducer,RID10889.Observation
mechanical transducer,RID10868.Observation
annular transducer,RID10901.Observation
endoscopic transducer,RID10896.Observation
clinical transducer,RID12502.Observation
non-mechanical transducer,RID10875.Observation
combined transducer,RID10886.Observation
curved array transducer,RID10897.Observation
curved transducer,RID10854.Observation
phased array transducer,RID10898.Observation
linear transducer,RID10855.Observation
transesophageal transducer,RID10895.Observation
multi-element transducer,RID12494.Observation
single-element transducer,RID12496.Observation
endocavitary curved linear array transducer,RID10881.Observation
endovascular transducer,RID10893.Observation
endorectal transducer,RID10890.Observation
endovaginal transducer,RID10891.Observation
intravascular rotating mirror transducer,RID10870.Observation
sector mechanical transducer,RID10871.Observation
sector annular array transducer,RID10872.Observation
endocavitary mechanical transducer,RID10873.Observation
mechanical sector transducer,RID10900.Observation
intravascular rotating crystal transducer,RID10869.Observation
endocavitary annular array transducer,RID10874.Observation
endocavitary linear transducer,RID10882.Observation
vector phased array transducer,RID10883.Observation
single crystal transducer,RID10884.Observation
endocavitary phased array transducer,RID10880.Observation
intravascular phased array transducer,RID10879.Observation
split crystal transducer,RID10885.Observation
sector phased array transducer,RID10876.Observation
linear array transducer,RID10877.Observation
curved linear array transducer,RID10887.Observation
sector phased transducer,RID10888.Observation
biopsy coil,RID10805.Observation
microscopy coil,RID10806.Observation
gradient coil,RID10839.Observation
internally inserted coil,RID10807.Observation
flexible coil,RID10801.Observation
multinuclear coil,RID10803.Observation
radiofrequency coil,RID10815.Observation
shim coil,RID10844.Observation
whole body gradient coil,RID10840.Observation
restricted field of view body gradient coil,RID10841.Observation
localized gradient coil,RID10843.Observation
endoluminal coil,RID10808.Observation
interventional coil,RID10812.Observation
endovascular coil,RID10810.Observation
endorectal coil,RID10809.Observation
endovaginal coil,RID38596.Observation
tracker coil,RID10838.Observation
functional magnetic resonance imaging coil,RID10835.Observation
transmit radiofrequency coil,RID10824.Observation
receive radiofrequency coil,RID10830.Observation
transmit-receive radiofrequency coil,RID10820.Observation
localized transmit coil,RID10826.Observation
localized receive coil,RID10831.Observation
primary transmit-receive coil,RID10821.Observation
linear resistive shim coil,RID10850.Observation
linear shim coil,RID10849.Observation
resistive shim coil,RID10845.Observation
superconducting shim coil,RID10846.Observation
non-linear shim coil,RID10847.Observation
CT device,RID29004.Observation
MR device,RID29054.Observation
nuclear imaging device,RID29055.Observation
first generation CT device,RID12312.Observation
second generation CT device,RID12314.Observation
continuously rotating tube CT,RID12309.Observation
fourth generation CT device,RID12316.Observation
third generation CT device,RID12315.Observation
gravity injector,RID12808.Observation
pump injector,RID12807.Observation
power injector,RID12806.Observation
multihole collimator,RID10937.Observation
pinhole collimator,RID10936.Observation
xray collimator,RID10941.Observation
stationary multi-channel,RID10938.Observation
seven-pinhole collimator,RID10939.Observation
rotating slant hole collimator,RID10940.Observation
core needle,RID12932.Observation
biopsy brush,RID12934.Observation
positron emission tomography camera,RID10963.Observation
gamma camera,RID10965.Observation
hydrophilic dilator,RID12899.Observation
nonhydrophilic dilator,RID12900.Observation
fiducial,RID28789.Observation
prosthesis,RID28823.Observation
ocular prosthesis,RID5450.Observation
implant,RID28790.Observation
orbital prosthesis,RID5449.Observation
valve,RID5549.Observation
tube or catheter,RID5554.Observation
battery pack,RID5430.Observation
cardiac rhythm therapy device,RID5431.Observation
wire,RID5453.Observation
venous filter,RID5552.Observation
temporary pacemaker patch,RID5458.Observation
hearing aid,RID5447.Observation
electrical stimulator,RID5437.Observation
orthopedic device,RID5459.Observation
cochlear implant,RID5448.Observation
dental device,RID5544.Observation
intracranial pressure monitor,RID5446.Observation
breast implant,RID34710.Observation
orthopedic implant,RID6413.Observation
semiconstrained implant,RID6415.Observation
nonconstrained implant,RID6416.Observation
fully constrained implant,RID6414.Observation
prosthetic cardiac valve,RID5550.Observation
programmable valve for shunt catheter,RID5551.Observation
catheter,RID5576.Observation
stent,RID5598.Observation
intraaortic balloon pump,RID5587.Observation
shunt catheter,RID5588.Observation
tube,RID5555.Observation
balloon catheter,RID11046.Observation
pigtail catheter,RID5583.Observation
drug delivery catheter,RID5580.Observation
peripheral intravenous central catheter,RID5581.Observation
umbilical venous catheter,RID5586.Observation
Swan-Ganz catheter,RID5584.Observation
umbilical arterial catheter,RID5585.Observation
drainage catheter,RID5579.Observation
brachytherapy catheter,RID5577.Observation
central venous catheter,RID5578.Observation
low profile balloon catheter,RID11047.Observation
standard balloon catheter,RID11048.Observation
cerebrospinal fluid shunt,RID5589.Observation
ventriculoperitoneal shunt,RID5594.Observation
syringoperitoneal shunt,RID5592.Observation
lumboperitoneal shunt,RID5597.Observation
ventriculoatrial shunt,RID5596.Observation
mediastinal tube,RID5571.Observation
feeding tube,RID5561.Observation
oral airway,RID5572.Observation
tympanostomy tube,RID5575.Observation
thoracostomy tube,RID5573.Observation
endotracheal tube,RID5557.Observation
shunt tubing,RID28791.Observation
cricothyroid tube,RID5556.Observation
orogastric tube,RID5570.Observation
gastrojejuenostomy tube,RID5564.Observation
gastric tube,RID5562.Observation
nasoenteric feeding tube,RID5568.Observation
nasogastric tube,RID5566.Observation
Dobbhoff tube,RID5569.Observation
orotracheal tube,RID5559.Observation
tracheostomy tube,RID5560.Observation
nasotracheal tube,RID5558.Observation
cardiac defibrillator,RID5433.Observation
pacemaker,RID5436.Observation
automated implantable cardiac defibrillator,RID5434.Observation
infusible wire,RID12886.Observation
electrocardiogram lead,RID5454.Observation
epicardial pacemaker wire,RID5455.Observation
non-infusible wire,RID12887.Observation
electrode,RID5456.Observation
recording electrode,RID5457.Observation
birds nest venous filter,RID5553.Observation
brain stimulator,RID5438.Observation
transcutaneous electrical neural stimulation unit,RID5439.Observation
drug delivery pump,RID5443.Observation
vagus nerve stimulator,RID5444.Observation
dorsal column stimulation unit,RID5441.Observation
bone stimulator device,RID5442.Observation
deep brain stimulator,RID5445.Observation
arthroplasty device,RID5537.Observation
traction device,RID7472.Observation
fixation device,RID5471.Observation
ossicle prosthesis,RID5460.Observation
spinal implant,RID5466.Observation
external device,RID5530.Observation
ACL graft device,RID5523.Observation
arthroplasty implant device,RID5539.Observation
hemiarthroplasty device,RID5542.Observation
unicompartmental prosthesis,RID5543.Observation
synthetic material,RID5540.Observation
surface arthroplasty,RID5541.Observation
external fixator,RID5517.Observation
internal fixator,RID5473.Observation
standard pin fixator,RID5518.Observation
ring fixator,RID5520.Observation
hybrid fixator,RID5521.Observation
pinless fixator,RID5522.Observation
orthopedic plate,RID5490.Observation
clamp,RID5516.Observation
nail,RID5508.Observation
Steinman pin,RID5476.Observation
orthopedic screw,RID5477.Observation
Kirschner wire,RID5474.Observation
staple,RID5513.Observation
blade plate,RID5491.Observation
caspar plate,RID5494.Observation
dynamic compression plate,RID5495.Observation
bridge plate,RID5492.Observation
calcaneal plate,RID5493.Observation
tibial condylar plate,RID5506.Observation
tubular plate,RID5507.Observation
spider plate,RID5504.Observation
T plate,RID5505.Observation
less invasive stabilization system plate,RID5498.Observation
fusion plate,RID5497.Observation
periarticular locking plate,RID5502.Observation
reconstruction plate,RID5503.Observation
orion plate,RID5500.Observation
PC plate,RID5501.Observation
intermedullary nail,RID5510.Observation
Rush rod,RID5512.Observation
cortical screw,RID5480.Observation
interference screw,RID5483.Observation
interfragmentary screw,RID5484.Observation
dynamic compression screw,RID5481.Observation
Herbert screw,RID5482.Observation
Schanz screw,RID5487.Observation
syndesmotic screw,RID5488.Observation
Kurosaka screw,RID5485.Observation
pedicle screw,RID5486.Observation
anchor screw,RID5478.Observation
suture anchor screw,RID5489.Observation
cancellous screw,RID5479.Observation
skin staple,RID5515.Observation
surgical staple,RID5514.Observation
total ossicular replacement,RID5461.Observation
stapes prostheses,RID5465.Observation
partial ossicular replacement,RID5463.Observation
titanium interbody spacer,RID29106.Observation
bone dowel,RID5470.Observation
artificial disk,RID5469.Observation
spinal fixation device,RID5467.Observation
vertebral body cage,RID5468.Observation
sling,RID5531.Observation
splint,RID5532.Observation
cervical brace,RID5535.Observation
halo vest,RID5536.Observation
orthopedic cast,RID5533.Observation
cervical collar,RID5534.Observation
ACL graft cross pin,RID5528.Observation
ACL graft suture post,RID5529.Observation
ACL graft washer,RID5526.Observation
ACL graft staple,RID5527.Observation
ACL graft button,RID5524.Observation
ACL graft polyester titanium button,RID5525.Observation
denture retention post,RID5548.Observation
denture prosthetic device,RID5546.Observation
dental filling,RID5545.Observation
PIN diode,RID10983.Observation
avalanche diode,RID10984.Observation
silicon drift diode,RID10985.Observation
Xenon ionization chamber,RID10598.Observation
solid-state crystal scintillation detector,RID10599.Observation
solid-state ceramic scintillation detector,RID10600.Observation
hydrophilic wire,RID11053.Observation
nonhydrophilic wire,RID11054.Observation
stiff wire,RID11055.Observation
nonstiff wire,RID11056.Observation
electroencephalogram probe,RID45650.Observation
needle,RID5605.Observation
sponge,RID5606.Observation
surgical cement,RID5603.Observation
free silicone,RID5604.Observation
medication device,RID5615.Observation
surgical wire,RID5609.Observation
surgical clip,RID5607.Observation
forceps,RID12935.Observation
temperature monitoring device,RID5612.Observation
ceramic surgical implement,RID5602.Observation
surgical drain,RID5610.Observation
bone graft substitute,RID5600.Observation
carmustine wafer,RID5616.Observation
antibiotic beads,RID5617.Observation
aneurysm clip,RID5608.Observation
temperature probe,RID5614.Observation
temperature patch,RID5613.Observation
wound-vac drain,RID5611.Observation
demineralized bone matrix,RID5601.Observation
contraceptive device,RID34574.Observation
missile,RID5628.Observation
embolic material,RID5618.Observation
bezoar,RID5426.Observation
decoration,RID5624.Observation
personal item,RID5633.Observation
intrauterine device,RID34575.Observation
birdshot,RID5629.Observation
buckshot,RID5630.Observation
bullet,RID5631.Observation
shrapnel,RID5632.Observation
embolization coil,RID5619.Observation
particulate embolic agent,RID5623.Observation
adhesive,RID5622.Observation
platinum embolization coil,RID5620.Observation
steel embolization coil,RID5621.Observation
trichobecaoar,RID5427.Observation
phytobezoar,RID5428.Observation
tattoo,RID5627.Observation
jewelry,RID5625.Observation
body piercing,RID5626.Observation
denture,RID5637.Observation
knife,RID5634.Observation
coin,RID5635.Observation
imaging observation,RID5.Observation
density-related entity,RID45721.Observation
attachment,RID46017.Observation
lesion characteristic,RID43356.Observation
visible anatomic entity,RID43345.Observation
opacity,RID28530.Observation
imaging sign,RID29023.Observation
assessment,RID36026.Observation
asymmetry,RID34265.Observation
echotexture,RID34346.Observation
perfusion imaging observation,RID38774.Observation
enhancement,RID34300.Observation
margin,RID5972.Observation
liver imaging observation,RID39431.Observation
cortical bone observation,RID45758.Observation
destruction pattern,RID6299.Observation
enhancement pattern,RID6058.Observation
water density,RID43336.Observation
central hypodensity,RID45722.Observation
soft tissue density,RID43337.Observation
attachment to pleura,RID46018.Observation
attachment to bronchus,RID46019.Observation
attachment to vessel,RID46052.Observation
lesion rim or capsule,RID43360.Observation
lesion substance characteristics,RID43361.Observation
lesion periphery,RID46022.Observation
perilesional tissue characteristics,RID43362.Observation
extraosseous component of lesion,RID45763.Observation
lesion shape,RID43364.Observation
lesion enhancement,RID43365.Observation
lesion load,RID43311.Observation
lesion boundary,RID34357.Observation
effect of mass on surrounding tissue,RID34379.Observation
lesion effect on liver,RID43357.Observation
lesion focality,RID43358.Observation
lesion margin,RID43359.Observation
lesion transition zone,RID45735.Observation
lesion matrix characteristic,RID45746.Observation
lesion brightness,RID43363.Observation
solitary lesion,RID43312.Observation
multiple lesions,RID43313.Observation
satellite lesions present,RID43317.Observation
multiple lesions 2-5,RID43314.Observation
multiple lesions 6-10,RID43315.Observation
multiple lesions >10,RID43316.Observation
abrupt interface,RID34358.Observation
echogenic halo,RID34359.Observation
entering airway,RID46035.Observation
lesion effect on liver,RID45677.Observation
no effect of mass on surrounding tissue,RID34380.Observation
tumor thrombus in portal vein,RID45681.Observation
obstructs biliary ducts,RID45679.Observation
bland thrombus in portal vein,RID45678.Observation
retracts capsule of liver,RID45680.Observation
intermediate transition,RID45736.Observation
wide transition,RID45738.Observation
narrow transition,RID45737.Observation
no discernible lesion matrix,RID45747.Observation
bronchiolar prominence,RID46037.Observation
visible internal vessels,RID43324.Observation
blood products (lesion),RID43346.Observation
septal lines,RID43273.Observation
subpleural curvilinear line,RID28536.Observation
pseudoplaque,RID28534.Observation
parenchymal band,RID28532.Observation
parenchymal opacification,RID28533.Observation
semi-consolidation,RID46009.Observation
juxtaphrenic peak,RID43413.Observation
ground-glass opacity,RID28531.Observation
Kerley A lines,RID43274.Observation
Kerley B lines,RID43275.Observation
Kerley C lines,RID43276.Observation
chest abdomen sign,RID35082.Observation
cervicothoracic sign,RID35080.Observation
chalice sign,RID35081.Observation
clover-leaf skull,RID35086.Observation
clear space sign,RID35085.Observation
central lucency sign,RID35079.Observation
celery stalk metaphysis,RID35077.Observation
fallen fragment sign,RID35198.Observation
falx sign,RID35199.Observation
celery stalk sign,RID35078.Observation
cardiac blur sign,RID35071.Observation
extrapleural air sign,RID35192.Observation
cardiac double density sign,RID35072.Observation
extrapleural sign,RID35193.Observation
epicardial fat pad sign,RID35190.Observation
esophageal tube displacement sign,RID35191.Observation
candy cane sign,RID35070.Observation
faceless kidney,RID35196.Observation
carpal sign,RID35075.Observation
Catlin sign,RID35076.Observation
falciform ligament sign,RID35197.Observation
eye-of-the-tiger sign,RID35194.Observation
Carman meniscus sign,RID35073.Observation
carotid string sign,RID35074.Observation
fabella sign,RID35195.Observation
enlargement of the hilar periportal space,RID35189.Observation
calyceal crescent sign,RID35068.Observation
cancellous ulcer osteoma,RID35069.Observation
empty delta sign,RID35187.Observation
bullet-shaped vertebra sign,RID35066.Observation
button sequestrum sign,RID35067.Observation
empty mediastinum sign,RID35188.Observation
duodenal wind sock sign,RID35181.Observation
brownian movement sign,RID35060.Observation
dural tail sign,RID35182.Observation
bulging fissure sign,RID35061.Observation
drowned hilus sign,RID35180.Observation
bull's-eye sign of GI tract,RID35064.Observation
egg-on-its-side heart,RID35185.Observation
ellipse sign,RID35186.Observation
bullet and bodkin sign,RID35065.Observation
bulging tumor sign,RID35062.Observation
early filling vein sign,RID35183.Observation
edge sign,RID35184.Observation
bull's-eye falciform ligament sign,RID35063.Observation
box-like heart,RID35057.Observation
drooping lily sign,RID35178.Observation
incomplete border sign of lung,RID35299.Observation
drooping shoulder sign,RID35179.Observation
bridging vascular sign,RID35058.Observation
boutonniere deformity,RID35055.Observation
iliopsoas-gluteus medius sign,RID35297.Observation
dripping candle wax sign,RID35176.Observation
incomplete border sign of abdomen,RID35298.Observation
dromedary hump,RID35177.Observation
bow tie sign,RID35056.Observation
brim sign,RID35059.Observation
double posterior cruciate ligament sign,RID35170.Observation
hyperlucent hemithorax sign,RID35291.Observation
bone bruise sign,RID35050.Observation
hypernephroma halo sign,RID35292.Observation
double spinous process sign,RID35171.Observation
doughnut sign,RID35174.Observation
ice cream cone sign,RID35295.Observation
boot-shaped heart sign,RID35053.Observation
border sign,RID35054.Observation
draped aorta sign,RID35175.Observation
iceberg sign,RID35296.Observation
hypotensive nephrogram sign,RID35293.Observation
double track sign,RID35172.Observation
bone-in-bone sign,RID35051.Observation
bone-scan double density sign,RID35052.Observation
hysterogram sign,RID35294.Observation
double-line sign,RID35173.Observation
cobra head sign,RID35090.Observation
colon cutoff sign,RID35099.Observation
Codman triangle,RID35093.Observation
coiled tube sign,RID35094.Observation
cockade image,RID35091.Observation
cocktail sausage sign,RID35092.Observation
collar sign,RID35097.Observation
collateral vein sign,RID35098.Observation
coin lesion,RID35095.Observation
collapsing cord sign,RID35096.Observation
cotton wool sign,RID35118.Observation
cracked walnut sign,RID35119.Observation
medial stripe sign,RID35366.Observation
right posterior hepatic notch sign,RID35487.Observation
beehive-on-the-bladder sign,RID34397.Observation
golf ball-on-tee sign,RID35244.Observation
Andersson lesion,RID35002.Observation
angel wings sign,RID35003.Observation
Cromlech sign,RID35124.Observation
blueberry muffin sign,RID34398.Observation
right paratracheal stripe sign,RID35486.Observation
MCA dot sign,RID35365.Observation
crescent sign,RID35121.Observation
air crescent sign,RID35000.Observation
marble bone,RID35364.Observation
rice kernel sign,RID35485.Observation
ribbon ribs,RID35484.Observation
mandibular mantle sign,RID35363.Observation
air esophagram sign,RID35001.Observation
Golden S sign,RID35243.Observation
kidney crescent sign,RID35122.Observation
beaded ureter,RID34396.Observation
anteater nose sign,RID35006.Observation
ground-glass sign,RID35248.Observation
CT angiogram sign,RID35127.Observation
mega-aeroesophagus sign,RID35369.Observation
CT arrowhead sign,RID35128.Observation
growing calculus sign,RID35249.Observation
anterior drawer sign,RID35007.Observation
angle sign,RID35004.Observation
gravitational shift sign,RID35246.Observation
crossover sign,RID35125.Observation
Rigler notch sign,RID35489.Observation
Medusa locks sign,RID35368.Observation
bowler hat sign,RID34399.Observation
Medusa head sign,RID35367.Observation
rigid loop sign,RID35488.Observation
ground glass pattern,RID35247.Observation
crowded carpal sign,RID35126.Observation
Rigler sign,RID34390.Observation
ghost vertebrae sign,RID35240.Observation
ribbon bowel,RID35483.Observation
main en lorgnette deformity,RID35362.Observation
maiden waist deformity,RID35361.Observation
reversed halo sign,RID35482.Observation
crazy-paving sign,RID35120.Observation
gloved finger sign,RID35241.Observation
reversed appearance sign,RID35481.Observation
magnification sign,RID35360.Observation
rim sign of adrenal,RID34391.Observation
rim sign of kidney,RID34392.Observation
reverse rim sign,RID35480.Observation
cord sign,RID35109.Observation
converging line sign,RID35107.Observation
fluid-fluid level,RID35228.Observation
lollipop sign of diverticula,RID35349.Observation
focal hepatic hot spot sign,RID35229.Observation
cookie cutter lesion,RID35108.Observation
corkscrew collaterals,RID35112.Observation
fragmented staghorn calculus,RID35233.Observation
renal halo sign,RID35476.Observation
subcapsular C sign,RID35597.Observation
Luftsichel sign,RID35355.Observation
lucent liver sign,RID35354.Observation
renal calyceal axis sign,RID35475.Observation
struggling antrum sign,RID35596.Observation
Frostberg inverted-3 sign,RID35234.Observation
four-tendon sign,RID35231.Observation
corduroy cloth vertebra,RID35110.Observation
striped colon sign,RID35595.Observation
rat tail narrowing sign,RID35474.Observation
lucent cleft sign,RID35353.Observation
loop-to-loop colon,RID35352.Observation
stripe sign of chest,RID35594.Observation
Rancke complex,RID35473.Observation
fragment-in-notch sign,RID35232.Observation
corkscrew bowel sign,RID35111.Observation
gasless abdomen sign,RID35237.Observation
cortical ring sign of wrist,RID35116.Observation
Madelung deformity,RID35359.Observation
reverse 5 sign,RID35479.Observation
lying-down adrenal gland,RID35358.Observation
costal cartilage sign,RID35117.Observation
gastric cannonball sign,RID35238.Observation
sunburst pattern,RID35599.Observation
reverse 3 sign,RID35478.Observation
fuzzy fluid level sign,RID35235.Observation
corner sign,RID35114.Observation
gallbladder inertia sign,RID35236.Observation
cortical ring sign of mandible,RID35115.Observation
sulcus sign,RID35598.Observation
reversal sign,RID35477.Observation
lumen with a lumen sign,RID35356.Observation
lollipop-tree sign,RID35351.Observation
ram's horn sign,RID35472.Observation
stripe sign of brain,RID35593.Observation
football sign,RID35230.Observation
radial bands sign,RID35471.Observation
string-of-pearls sign of renal artery,RID35592.Observation
lollipop sign,RID35350.Observation
string-of-pearls sign of bowel,RID35591.Observation
rabbit ears sign,RID35470.Observation
string sign,RID35590.Observation
flat waist sign,RID35219.Observation
flared mandible sign,RID35217.Observation
lead pipe sign,RID35339.Observation
pseudo-fracture,RID35459.Observation
laterally displaced ureter sign,RID35338.Observation
flat tire sign,RID35218.Observation
comb sign,RID35101.Observation
Fleischner sign of ileum,RID35222.Observation
life buoy sign,RID35344.Observation
puff-of-smoke sign,RID35465.Observation
stipple sign,RID35586.Observation
pubic varus sign,RID35464.Observation
Stierlin sign,RID35585.Observation
leontiasis ossea,RID35343.Observation
comet sign,RID35102.Observation
floating aorta sign,RID35223.Observation
Fleischner line,RID35220.Observation
lemon sign,RID35342.Observation
sternal cupping sign,RID35584.Observation
psoas sign,RID35463.Observation
stepladder sign,RID35583.Observation
pseudotumor sign,RID35462.Observation
left atrial notch sign,RID35341.Observation
Fleischner sign of chest,RID35221.Observation
colon sign,RID35100.Observation
floating viscera sign,RID35226.Observation
contracting cord sign,RID35105.Observation
pyloric tit sign,RID35469.Observation
lobster claw,RID35348.Observation
little finger sign,RID35347.Observation
stretched bronchus sign,RID35589.Observation
contrast bubble sign,RID35106.Observation
floppy thumb sign,RID35227.Observation
strawberry skull,RID35588.Observation
putty kidney,RID35467.Observation
linguine sign,RID35346.Observation
floating myodil sign,RID35224.Observation
concentric ring sign,RID35103.Observation
floating tooth sign,RID35225.Observation
continuous diaphragm sign,RID35104.Observation
light bulb sign,RID35345.Observation
straight line sign,RID35587.Observation
pulmonary sling,RID35466.Observation
pseudokidney sign,RID35461.Observation
step-off vertebral body sign,RID35582.Observation
leafless tree sign,RID35340.Observation
pseudocalculus sign,RID35460.Observation
steeple sign,RID35581.Observation
starry sky,RID35580.Observation
figure 3 sign,RID35208.Observation
kissing sequestra sign,RID35329.Observation
figure E sign,RID35209.Observation
kinky chest tube sign,RID35328.Observation
pleural tail,RID35449.Observation
feeding vessel sign,RID35206.Observation
fickle finger sign,RID35207.Observation
kidney sweat,RID35327.Observation
Playboy bunny sign,RID35448.Observation
splenic pedicle sign,RID35569.Observation
Poppel sign,RID35454.Observation
squeeze sign,RID35575.Observation
lacunar skull,RID35333.Observation
shadow sign,RID35696.Observation
lace-like pattern of ovary,RID35332.Observation
popcorn calcification sign,RID35453.Observation
spur sign,RID35574.Observation
wedge sign,RID35695.Observation
fish vertebra,RID35212.Observation
wave sign,RID35694.Observation
spotted nephrogram,RID35573.Observation
polka-dot sign,RID35452.Observation
lace-like pattern of joint,RID35331.Observation
figure 8 sign of brain,RID35210.Observation
knuckle sign,RID35330.Observation
spoke wheel sign of bowel,RID35572.Observation
pockets-of-gas sign,RID35451.Observation
watering can perineum,RID35693.Observation
lateral femoral notch sign,RID35337.Observation
pruned tree sign,RID35458.Observation
starry night sign,RID35579.Observation
flame shaped breast tissue,RID35215.Observation
flank stripe sign,RID35216.Observation
staghorn calculus,RID35578.Observation
pronator quadratus sign,RID35457.Observation
lateral capsular sign,RID35336.Observation
whirlpool sign,RID35699.Observation
fishhook ureter,RID35213.Observation
lambda sign of chest,RID35335.Observation
stack of coins sign,RID35577.Observation
posterior wedging sign,RID35456.Observation
whalebone-in-a-corset sign,RID35698.Observation
Westermark sign,RID35697.Observation
squeezed ventricle sign,RID35576.Observation
posterior vertebral scalloping,RID35455.Observation
lambda sign of aorta,RID35334.Observation
fissure sign,RID35214.Observation
pneumoarthrogram sign,RID35450.Observation
spoke wheel pattern of kidney,RID35571.Observation
waterfall hilum,RID35692.Observation
water lily sign,RID35691.Observation
split pleura sign,RID35570.Observation
wasp waist sign,RID35690.Observation
double decidual sac sign,RID35167.Observation
hydronephrotic rim,RID35288.Observation
blade-of-grass sign,RID35046.Observation
blister of bone,RID35047.Observation
double duct sign,RID35168.Observation
hyperattenuating crescent sign,RID35289.Observation
hourglass appearance,RID35286.Observation
double condom sign,RID35165.Observation
bladder ear sign,RID35044.Observation
bladder sign,RID35045.Observation
hump sign,RID35287.Observation
double contour sign,RID35166.Observation
blister-of-the-cervix sign,RID35048.Observation
double outline sign,RID35169.Observation
block vertebra,RID35049.Observation
honeycomb lung,RID35280.Observation
hook sign,RID35281.Observation
dot and dash pattern,RID35160.Observation
bite sign,RID35042.Observation
double bubble sign,RID35163.Observation
hot cross bun sign,RID35284.Observation
double cava sign,RID35164.Observation
hot nose sign,RID35285.Observation
black pleura sign,RID35043.Observation
bird's beak sign of colon,RID35040.Observation
double bleb sign,RID35161.Observation
hot air balloon sign,RID35283.Observation
double bronchial wall sign,RID35162.Observation
bird's beak sign of esophagus,RID35041.Observation
bear paw sign,RID35035.Observation
distended common bile duct,RID35156.Observation
hole-within-a-hole pattern,RID35277.Observation
notched ureter sign,RID35399.Observation
nipple sign,RID35398.Observation
divergent spinous processes sign,RID35157.Observation
holly leaf appearance,RID35278.Observation
beaten brass sign,RID35036.Observation
bare orbit sign,RID35033.Observation
hilum overlay sign,RID35275.Observation
displaced spinolaminar line sign,RID35154.Observation
Neuhaser sign,RID35397.Observation
negative pyelogram,RID35396.Observation
hitchhiker thumb,RID35276.Observation
disruptive diaphragmatic echo sign,RID35155.Observation
beak sign of pylorus,RID35034.Observation
big rib sign,RID35039.Observation
Honda sign,RID35279.Observation
dog leg sign,RID35158.Observation
bell-shaped ureter sign,RID35037.Observation
dog's ear sign,RID35159.Observation
musculoskeletal crescent sign,RID35391.Observation
multiple concentric ring sign,RID35390.Observation
hide-bound bowel sign,RID35270.Observation
navicular fat stripe sign,RID35395.Observation
displaced crus sign,RID35152.Observation
Hill-Sachs deformity sign,RID35273.Observation
bamboo spine,RID35031.Observation
banana sign,RID35032.Observation
displaced retroperitoneal fat sign,RID35153.Observation
hilum convergence sign,RID35274.Observation
nasopharyngeal soft-tissue sign,RID35394.Observation
high-attenuating crescent sign,RID35271.Observation
discarded string sign,RID35150.Observation
naked facet sign,RID35393.Observation
Naclerio V sign,RID35392.Observation
balloon-on-a-string sign,RID35030.Observation
hiked-up renal pelvis,RID35272.Observation
disk kidney,RID35151.Observation
vascular convergence sign,RID46036.Observation
applesauce sign,RID35019.Observation
dilated transverse colon sign,RID35145.Observation
Hellmer sign,RID35266.Observation
asterisk sign,RID35024.Observation
mucosal stripe sign,RID35388.Observation
Mount Fuji sign,RID35387.Observation
axillary mass sign,RID35025.Observation
dimple sign,RID35146.Observation
hematocrit effect,RID35267.Observation
moulage sign,RID35386.Observation
headcheese sign,RID35264.Observation
deviated descending thoracic aorta sign,RID35143.Observation
arterial cut-off sign,RID35022.Observation
heel pad sign,RID35265.Observation
diastolic washout sign,RID35144.Observation
ball sign,RID35028.Observation
B6 bronchus sign,RID35026.Observation
hepatic angle sign,RID35268.Observation
disappearing basal ganglia sign,RID35147.Observation
mulberry stone,RID35389.Observation
herniated mediastinal pleural sac sign,RID35269.Observation
disappearing ellipse sign,RID35148.Observation
bag-of-worms sign,RID35027.Observation
molar tooth sign of brain,RID35380.Observation
arcuate sign,RID35020.Observation
dependent viscera sign,RID35141.Observation
harlequin appearance,RID35262.Observation
moth-eaten calyx,RID35384.Observation
moon crescent sign,RID35383.Observation
Deuel halo sign,RID35142.Observation
Hawkins sign,RID35263.Observation
arrowhead sign,RID35021.Observation
halo sign of lung,RID35260.Observation
monocle sign,RID35382.Observation
molar tooth sign of inner ear,RID35381.Observation
Hampton hump sign,RID35261.Observation
dense vessel sign,RID35140.Observation
anterior sulcus sign,RID35008.Observation
anterior tracheal displacement sign,RID35009.Observation
aortic nipple sign,RID35013.Observation
cyclops lesion,RID35134.Observation
half moon sign (shoulder),RID35255.Observation
ring stricture sign,RID35498.Observation
miliary pattern,RID35377.Observation
migrating staple sign,RID35376.Observation
ring sign of colon,RID35497.Observation
dagger sign,RID35135.Observation
halo sign of breast,RID35256.Observation
aortic swallowing sign,RID35014.Observation
ring sign of adrenal,RID35496.Observation
midsternal stripe sign,RID35375.Observation
antral bowing sign,RID35011.Observation
hair-on-end sign,RID35253.Observation
curlicue ureter sign,RID35132.Observation
